"filename", "language", "C++", "CUDA C++", "YAML", "XML", "comment", "blank", "total"
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\CalcTools.cpp", "C++", 317, 0, 0, 0, 7, 30, 354
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\CalcTools.h", "C++", 20, 0, 0, 0, 0, 3, 23
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\Controller.cpp", "C++", 49, 0, 0, 0, 0, 14, 63
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\Controller.h", "C++", 20, 0, 0, 0, 1, 3, 24
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddForces.cpp", "C++", 34, 0, 0, 0, 0, 8, 42
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddForces.h", "C++", 17, 0, 0, 0, 0, 8, 25
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddGraphics.cpp", "C++", 44, 0, 0, 0, 4, 9, 57
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogAddGraphics.h", "C++", 23, 0, 0, 0, 0, 8, 31
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogEdgeAdd.cpp", "C++", 21, 0, 0, 0, 0, 5, 26
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\DialogEdgeAdd.h", "C++", 18, 0, 0, 0, 0, 7, 25
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MainWindow.cpp", "C++", 318, 0, 0, 0, 20, 45, 383
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MainWindow.h", "C++", 51, 0, 0, 0, 0, 10, 61
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MatrixSolver.cu", "CUDA C++", 0, 157, 0, 0, 6, 37, 200
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MatrixSolver.cuh", "CUDA C++", 0, 34, 0, 0, 2, 4, 40
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MshInformation.cpp", "C++", 308, 0, 0, 0, 3, 30, 341
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MshInformation.h", "C++", 54, 0, 0, 0, 7, 12, 73
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyGraphicsView.cpp", "C++", 47, 0, 0, 0, 6, 8, 61
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyGraphicsView.h", "C++", 24, 0, 0, 0, 0, 2, 26
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyStackedWidget.cpp", "C++", 12, 0, 0, 0, 0, 3, 15
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\MyStackedWidget.h", "C++", 14, 0, 0, 0, 0, 2, 16
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\cusolver_utils.h", "C++", 218, 0, 0, 0, 44, 48, 310
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\finite-element-cuda-new.vcxproj", "XML", 0, 0, 0, 146, 6, 0, 152
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\ci\build.gitlab-ci.yml", "YAML", 0, 0, 187, 0, 12, 18, 217
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\main.cpp", "C++", 9, 0, 0, 0, 0, 2, 11
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\publicElement.cpp", "C++", 7, 0, 0, 0, 0, 2, 9
"c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\publicElement.h", "C++", 43, 0, 0, 0, 0, 9, 52
"Total", "-", 1668, 191, 187, 146, 118, 327, 2637
