Date : 2024-05-23 15:59:29
Directory : c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new
Total : 1556 files,  252208 codes, 52786 comments, 47210 blanks, all 352204 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |      1,425 |    234,173 |     50,246 |     43,621 |    328,040 |
| CMake        |         50 |      6,761 |          0 |        961 |      7,722 |
| C            |         21 |      3,792 |      2,095 |        798 |      6,685 |
| CUDA C++     |         16 |      3,460 |        217 |        873 |      4,550 |
| Markdown     |          6 |      1,446 |         40 |        498 |      1,984 |
| YAML         |          4 |        626 |         31 |         81 |        738 |
| Shell Script |         12 |        530 |         71 |        155 |        756 |
| XML          |          5 |        380 |          6 |          3 |        389 |
| Python       |          3 |        252 |         47 |         88 |        387 |
| CSS          |          2 |        217 |         18 |         61 |        296 |
| JavaScript   |          3 |        205 |         15 |         31 |        251 |
| Log          |          4 |        131 |          0 |         19 |        150 |
| HTML         |          4 |        119 |          0 |         16 |        135 |
| XSL          |          1 |        116 |          0 |          5 |        121 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |      1,556 |    252,208 |     52,786 |     47,210 |    352,204 |
| . (Files)                                                                                                                                                           |         25 |      2,402 |        151 |        367 |      2,920 |
| include                                                                                                                                                             |      1,512 |    246,527 |     52,447 |     46,351 |    345,325 |
| include (Files)                                                                                                                                                     |          2 |      5,741 |      3,799 |        801 |     10,341 |
| include\eigen-3.4.0                                                                                                                                                 |      1,510 |    240,786 |     48,648 |     45,550 |    334,984 |
| include\eigen-3.4.0 (Files)                                                                                                                                         |          3 |         31 |          8 |          9 |         48 |
| include\eigen-3.4.0\.gitlab                                                                                                                                         |          3 |         43 |         40 |         22 |        105 |
| include\eigen-3.4.0\.gitlab\issue_templates                                                                                                                         |          2 |         37 |         23 |         18 |         78 |
| include\eigen-3.4.0\.gitlab\merge_request_templates                                                                                                                 |          1 |          6 |         17 |          4 |         27 |
| include\eigen-3.4.0\Eigen                                                                                                                                           |        307 |    104,218 |     25,456 |     17,642 |    147,316 |
| include\eigen-3.4.0\Eigen\src                                                                                                                                       |        307 |    104,218 |     25,456 |     17,642 |    147,316 |
| include\eigen-3.4.0\Eigen\src\Cholesky                                                                                                                              |          3 |        813 |        362 |        173 |      1,348 |
| include\eigen-3.4.0\Eigen\src\CholmodSupport                                                                                                                        |          1 |        410 |        177 |         96 |        683 |
| include\eigen-3.4.0\Eigen\src\Core                                                                                                                                  |        165 |     57,596 |     12,146 |     10,546 |     80,288 |
| include\eigen-3.4.0\Eigen\src\Core (Files)                                                                                                                          |         72 |     18,184 |      6,174 |      3,794 |     28,152 |
| include\eigen-3.4.0\Eigen\src\Core\arch                                                                                                                             |         49 |     27,010 |      2,735 |      4,469 |     34,214 |
| include\eigen-3.4.0\Eigen\src\Core\arch\AVX                                                                                                                         |          4 |      1,811 |        154 |        328 |      2,293 |
| include\eigen-3.4.0\Eigen\src\Core\arch\AVX512                                                                                                                      |          4 |      2,605 |        157 |        418 |      3,180 |
| include\eigen-3.4.0\Eigen\src\Core\arch\AltiVec                                                                                                                     |          6 |      5,831 |        221 |        959 |      7,011 |
| include\eigen-3.4.0\Eigen\src\Core\arch\CUDA                                                                                                                        |          1 |        202 |         33 |         24 |        259 |
| include\eigen-3.4.0\Eigen\src\Core\arch\Default                                                                                                                     |          7 |      2,301 |        975 |        418 |      3,694 |
| include\eigen-3.4.0\Eigen\src\Core\arch\GPU                                                                                                                         |          3 |      1,587 |         49 |        235 |      1,871 |
| include\eigen-3.4.0\Eigen\src\Core\arch\HIP                                                                                                                         |          1 |         12 |          6 |          6 |         24 |
| include\eigen-3.4.0\Eigen\src\Core\arch\HIP\hcc                                                                                                                     |          1 |         12 |          6 |          6 |         24 |
| include\eigen-3.4.0\Eigen\src\Core\arch\MSA                                                                                                                         |          3 |      1,671 |        162 |        438 |      2,271 |
| include\eigen-3.4.0\Eigen\src\Core\arch\NEON                                                                                                                        |          5 |      5,907 |        283 |        663 |      6,853 |
| include\eigen-3.4.0\Eigen\src\Core\arch\SSE                                                                                                                         |          4 |      1,703 |        203 |        295 |      2,201 |
| include\eigen-3.4.0\Eigen\src\Core\arch\SVE                                                                                                                         |          3 |        661 |         52 |        135 |        848 |
| include\eigen-3.4.0\Eigen\src\Core\arch\SYCL                                                                                                                        |          5 |      1,373 |        338 |        276 |      1,987 |
| include\eigen-3.4.0\Eigen\src\Core\arch\ZVector                                                                                                                     |          3 |      1,346 |        102 |        274 |      1,722 |
| include\eigen-3.4.0\Eigen\src\Core\functors                                                                                                                         |          6 |      1,526 |        464 |        245 |      2,235 |
| include\eigen-3.4.0\Eigen\src\Core\products                                                                                                                         |         21 |      6,021 |      1,063 |      1,011 |      8,095 |
| include\eigen-3.4.0\Eigen\src\Core\util                                                                                                                             |         17 |      4,855 |      1,710 |      1,027 |      7,592 |
| include\eigen-3.4.0\Eigen\src\Eigenvalues                                                                                                                           |         14 |      2,830 |      2,176 |        549 |      5,555 |
